Resource,Path,Git Org,Git Repository,Misconfigurations,Severity,Policy title,Guideline
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_13,,Ensure App Service Authentication is set on Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-2
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_17,,Ensure the web app has 'Client Certificates (Incoming client certificates)' set,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-7
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_65,,Ensure that App service enables detailed error messages,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/tbdensure-that-app-service-enables-detailed-error-messages
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_66,,Ensure that App service enables failed request tracing,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-failed-request-tracing
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_78,,Ensure FTP deployments are disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-ftp-deployments-are-disabled
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_63,,Ensure that App service enables HTTP logging,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-http-logging
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_18,,Ensure that 'HTTP Version' is the latest if used to run the web app,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-8
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_14,,Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-5
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_16,,Ensure that Register with Azure Active Directory is enabled on App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-iam-policies/bc-azr-iam-1
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_71,,Ensure that Managed identity provider is enabled for app services,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-managed-identity-provider-is-enabled-for-app-services
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_222,,Ensure that Azure Web App public network access is disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-63
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_213,,Ensure that App Service configures health check,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/azr-networking-213
module.as-01.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_88,,Ensure that app services use Azure Files,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-that-app-services-use-azure-files
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_13,,Ensure App Service Authentication is set on Azure App Service,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/bc-azr-general-2
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_17,,Ensure the web app has 'Client Certificates (Incoming client certificates)' set,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-networking-policies/bc-azr-networking-7
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_65,,Ensure that App service enables detailed error messages,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/tbdensure-that-app-service-enables-detailed-error-messages
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_66,,Ensure that App service enables failed request tracing,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-logging-policies/ensure-that-app-service-enables-failed-request-tracing
module.as-02.azurerm_linux_web_app.example,\..\modules\app_service\main.tf,cli_repo,core,CKV_AZURE_78,,Ensure FTP deployments are disabled,https://docs.prismacloud.io/en/enterprise-edition/policy-reference/azure-policies/azure-general-policies/ensure-ftp-deployments-are-disabled
